id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00276641,2580478981,63,,280560872,0.00283313,0.00274032,-4.4561226e-05,-1.58526,-43727671.64866495,-1.66632,932497500000.0,990000000000.0,,0.01356626,-79.57519,2021-04-05T04:09:06.433Z,0.00013814,1905.81015,2020-03-13T02:22:57.629Z,,2022-01-04T08:38:11.066Z,0.24109097802523355,-1.585263196397798,22.0533816720778,usd,2205.33816720778
amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.052633,2543439330,64,5256249404.0,91089999,0.055054,0.04826991,0.00391165,8.0286,205447783.0,8.78736,48013928909.1577,99443009683.4991,99225164238.50153,0.120813,-55.98442,2021-06-16T16:03:41.147Z,0.00250501,2022.79901,2020-11-04T13:18:12.191Z,,2022-01-04T08:39:46.362Z,-1.1118087526944547,8.028598227250033,,,
curve-dao-token,crv,Curve DAO Token,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,6.45,2541863709,65,21420281551.0,1419110317,6.72,5.86,0.576133,9.8121,236597465.0,10.26335,391958099.3931446,1663428314.84446,3303030299.0,54.01,-87.93216,2020-08-14T04:53:44.010Z,0.331577,1865.56841,2020-11-05T13:09:50.181Z,,2022-01-04T08:39:39.670Z,-1.5523749308773815,9.812103062031422,,,
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,2.04,2541227097,66,2803351424.0,113929065,2.09,2.01,-0.027878256187,-1.34954,-35284688.99863815,-1.36948,1245991468.94246,1373873440.44246,1374513896.0,3.75,-45.56177,2021-11-10T14:59:53.164Z,0.01963893,10294.39022,2019-12-18T13:14:41.553Z,,2022-01-04T08:37:25.565Z,0.18486793616456013,-1.349542763007481,32.96462361484785,usd,3296.462361484785
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,2.37,2490409039,67,,87731467,2.4,2.28,0.00693856,0.29381,3531724.0,0.14201,1052561461.68777,1818000000.0,,3.39,-29.77389,2021-12-01T01:32:34.725Z,0.04559639,5120.60938,2020-03-13T02:29:26.415Z,,2022-01-04T08:38:03.078Z,-0.3345664999449255,0.2938102921186522,18.737648902840974,usd,1873.7648902840974
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,184.0,2464331064,68,2684519557.0,36007756,189.59,176.76,-2.946493341525,-1.57611,-68279686.7238245,-2.69602,13413953.469289193,14612493.0,14612493.0,427.42,-56.95279,2021-09-11T09:15:00.668Z,0.215773,85171.61424,2018-08-23T00:00:00.000Z,,2022-01-04T08:37:38.517Z,0.3782526718170488,-1.5761082968494822,19.95805302792694,eth,1995.805302792694
radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.246553,2401743440,69,5921773496.0,717384,0.26244,0.242525,-0.007927265022,-3.11508,-75095521.42939425,-3.03191,9733881683.8644,12133881654.4454,24000000000.0,0.651264,-62.07495,2021-11-14T16:09:27.130Z,0.086235,186.41657,2021-09-13T04:50:07.104Z,,2022-01-04T08:36:35.098Z,0.03918159238196945,-3.1150820479980497,,,
olympus,ohm,Olympus,https://assets.coingecko.com/coins/images/14483/large/token_OHM_%281%29.png?1628311611,319.55,2360693704,70,2624061990.0,52462067,336.4,318.57,-8.379157670134,-2.55513,-30374469.516531944,-1.27033,7384335.600354632,8208161.16208714,8208161.16208714,1415.26,-77.38805,2021-04-25T00:00:00.000Z,162.79,96.58401,2021-05-23T22:25:07.703Z,,2022-01-04T08:37:27.004Z,-0.6077565091137037,-2.555134204023782,,,
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,121.96,2310062193,71,,56620280,124.27,120.47,-1.56076607186,-1.26357,-31418394.605758667,-1.34182,18942070.394239,21000000.0,,489.75,-75.07588,2021-04-16T17:09:04.630Z,42.02,190.5138,2018-11-23T00:00:00.000Z,,2022-01-04T08:39:32.747Z,0.1943764781349737,-1.2635685105709815,,,
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,7.68,2288837924,72,3817910385.0,71100752,7.64,7.08,0.4979,6.92899,147630710.0,6.89474,299750084.9386705,500000000.0,500000000.0,20.87,-63.91768,2021-05-19T00:30:09.436Z,0.00851264,88350.86689,2019-09-28T00:00:00.000Z,,2022-01-04T08:38:49.169Z,2.5322405239136594,6.928992437353873,201.20119742539634,usd,20120.119742539635
