id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,74.7,5403718818,36,,26296263.0,75.62,74.06,0.01831806,0.02453,-27981283.76887417,-0.51515,72376942.5310434,72376942.5310434,,97.75,-23.70586,2021-11-21T12:39:57.508Z,1.89,3853.6881,2020-03-13T02:22:33.711Z,,2021-12-31T08:16:23.778Z,-0.35699059498665847,0.024528897745141182,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.12,5385350121,37,6728633987.0,446545078.0,2.21,2.09,-0.040917717507,-1.89236,-106052207.35460377,-1.93124,2541152731.01,3175000000.0,3175000000.0,3.46,-38.89346,2021-10-28T05:19:39.845Z,0.00190227,110999.62366,2020-03-13T02:25:38.280Z,,2021-12-31T08:14:48.826Z,0.3671997385357856,-1.8923560863959403,69.71151297981827,usd,6971.151297981826
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,34.96,5022359543,38,68932440007.0,474342561.0,35.78,34.56,0.00762349,0.02181,8468451.0,0.1689,143598823.0,1970909722.0,1970909722.0,236.84,-85.26623,2021-04-01T13:29:41.564Z,20.06,73.95915,2020-12-29T22:32:28.483Z,,2021-12-31T08:14:39.780Z,0.15364071459379125,0.021809733649826336,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,241.24,4893876861,39,,98396667.0,251.39,237.78,-6.574605414499,-2.65307,-147748875.43355846,-2.93058,20303973.0,20397843.0,,545.64,-55.77823,2021-11-23T10:33:26.737Z,6.51,3608.3757,2020-10-07T01:44:53.554Z,,2021-12-31T08:16:06.617Z,-0.0745613387589875,-2.6530707489041134,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,25.02,4774258647,40,11732201095.0,261214720.0,25.91,24.21,0.354419,1.43717,53969025.0,1.14334,190940096.75,469213710.0,469213710.0,700.65,-96.43116,2021-05-10T16:05:53.653Z,21.04,18.83484,2021-12-20T12:59:41.703Z,,2021-12-31T08:15:28.939Z,-0.0953707013646074,1.4371698329176115,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.73,4716378211,41,,131098572.0,4.99,4.67,-0.154324991437,-3.15874,-188382814.88967037,-3.84082,1000000000.0,1000000000.0,,15.72,-70.03675,2021-04-16T13:15:11.190Z,0.04039979,11558.81651,2020-03-13T02:24:16.483Z,,2021-12-31T08:16:32.152Z,0.12023229354333309,-3.158736160026363,30.54220856221848,usd,3054.220856221848
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,34.46,4546323334,42,7258062118.0,252179128.0,35.13,34.18,-0.267246895071,-0.76945,-35995552.357263565,-0.78553,131978799.695888,210700000.0,210700000.0,167.09,-79.47261,2021-05-06T18:34:22.133Z,0.615038,5476.6078,2016-07-25T00:00:00.000Z,,2021-12-31T08:15:27.185Z,0.26791006308852994,-0.7694497805369858,75.58880154245202,usd,7558.880154245202
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,1.0,4533493229,43,,213636639.0,1.01,0.994432,0.00436784,0.43717,5945555.0,0.13132,4519748141.24997,4519748141.24997,,1.04,-3.73964,2021-10-06T13:25:17.751Z,0.919196,9.02171,2021-12-04T05:29:56.806Z,,2021-12-31T08:14:39.915Z,0.44743696704928565,0.43717154423489385,,,
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,3.34,4433789072,44,7328260254.0,386755951.0,3.37,3.26,0.0076488,0.2294,17774623.0,0.4025,1327372145.9864838,2193908727.32015,2193908727.32015,5.85,-43.09457,2021-11-25T10:04:18.534Z,0.00923681,35945.29757,2017-10-31T00:00:00.000Z,,2021-12-31T08:15:32.470Z,-0.0794846244826869,0.2293967331145759,166.0980462057774,usd,16609.80462057774
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,224.99,4058197149,45,,186053664.0,228.95,219.17,4.53,2.05346,64436059.0,1.61342,18055151.7085714,,,542.33,-58.63827,2018-01-09T00:00:00.000Z,0.216177,103664.77679,2015-01-14T00:00:00.000Z,,2021-12-31T08:16:48.994Z,-0.011776703401347207,2.0534629076890236,,,
