id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2369.92,2128726794,71,2374983583.0,72241596.0,2493.7,2306.42,-120.590556780475,-4.842,-137396711.57084107,-6.06307,901310.9472893132,986654.812749029,1005577.0,6292.31,-62.3358,2021-05-03T21:54:29.333Z,168.36,1307.68831,2020-03-16T20:52:36.527Z,,2021-12-30T10:23:23.194Z,0.2027178347583155
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,0.00011058,2089392808,72,2316921885.0,24309645.0,0.00011252,0.00010812,-1.65726e-06,-1.47657,-46997379.789689064,-2.19985,18937733396789.4,21000000000000.0,21000000000000.0,0.00038001,-70.90103,2021-09-04T17:09:31.137Z,1.847e-05,498.7032,2021-07-20T20:49:46.212Z,,2021-12-30T10:21:17.005Z,0.350470227185268
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,6.91,2045538981,73,3437397753.0,58443917.0,7.35,6.69,-0.420795491145,-5.73805,-151957859.7862184,-6.91504,297541792.91730165,500000000.0,500000000.0,20.87,-66.88352,2021-05-19T00:30:09.436Z,0.00851264,81080.50542,2019-09-28T00:00:00.000Z,"{'times': 180.91138942054923, 'currency': 'usd', 'percentage': 18091.138942054924}",2021-12-30T10:23:37.541Z,0.0464891274960984
kadena,kda,Kadena,https://assets.coingecko.com/coins/images/3693/large/djLWD6mR_400x400.jpg?1591080616,12.66,2041331222,74,12570074103.0,59867706.0,13.57,11.95,-0.711967956031,-5.32237,-157581884.11467695,-7.16635,162396116.7779,1000000000.0,1000000000.0,27.64,-54.18668,2021-11-11T13:22:45.731Z,0.065811,19138.05162,2020-03-13T02:00:28.582Z,"{'times': 11.66491667827344, 'currency': 'usd', 'percentage': 1166.491667827344}",2021-12-30T10:21:39.615Z,1.0758508550101067
curve-dao-token,crv,Curve DAO Token,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,5.01,1939462389,75,16343846561.0,772888212.0,5.2,4.7,0.135003,2.76726,16815718.0,0.87461,391958099.3931446,1660438778.64297,3303030299.0,54.01,-90.71663,2020-08-14T04:53:44.010Z,0.331577,1412.04336,2020-11-05T13:09:50.181Z,,2021-12-30T10:21:20.744Z,0.7484930557924517
convex-finance,cvx,Convex Finance,https://assets.coingecko.com/coins/images/15585/large/convex.png?1621256328,43.91,1930277125,76,4399839400.0,68847603.0,49.22,41.38,-2.980436753254,-6.35674,-118680048.48082376,-5.79222,43871535.9643007,79846762.0487394,100000000.0,52.16,-15.78262,2021-12-27T23:07:18.233Z,1.9,2208.45146,2021-07-20T13:17:29.183Z,,2021-12-30T10:23:52.377Z,-0.007525352645564142
huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,47498.0,1890784924,77,1890784924.0,3078450.0,48130.0,46560.0,-452.808439195753,-0.94432,-25424125.16473031,-1.32679,39884.082204742,39884.082204742,39884.082204742,69325.0,-31.48513,2021-05-10T02:33:06.038Z,11209.02,323.74779,2020-10-12T03:56:16.768Z,,2021-12-30T10:20:20.261Z,-0.09048516923636139
theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.197726,1886178774,78,,19439011.0,0.203265,0.192071,-0.005160120174,-2.54336,49552231.0,2.698,0.0,5301200000.0,,0.68159,-71.04201,2021-06-09T06:50:55.818Z,0.00090804,21636.37428,2020-03-13T02:30:37.972Z,,2021-12-30T10:23:39.118Z,0.6496178285036872
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,26.31,1845265146,79,,139926949.0,27.08,25.44,-0.774052385366,-2.85839,-74988034.32744241,-3.90511,70530000.0,100000000.0,,198.38,-86.74598,2018-01-15T00:00:00.000Z,0.078349,33459.30679,2016-10-21T00:00:00.000Z,"{'times': 729.7214671215559, 'currency': 'usd', 'percentage': 72972.14671215558}",2021-12-30T10:21:23.268Z,0.22039156029724405
zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,150.08,1790032651,80,3144005657.0,320923382.0,152.94,143.21,2.57,1.74475,7267029.0,0.40763,11956303.4475468,21000000.0,21000000.0,3191.93,-95.29532,2016-10-29T00:00:00.000Z,19.75,660.21405,2020-03-13T02:20:55.002Z,,2021-12-30T10:23:03.458Z,0.2077431799934353
basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,1.2,1786626308,81,1793963597.0,269817992.0,1.22,1.12,-0.021665187792,-1.77559,-49000178.793004036,-2.6694,1493865018.4473505,1500000000.0,1500000000.0,1.9,-36.86192,2021-11-28T00:23:51.354Z,0.072394,1557.56533,2017-07-16T00:00:00.000Z,"{'times': 1.070459297197879, 'currency': 'eth', 'percentage': 107.0459297197879}",2021-12-30T10:24:08.596Z,0.12090932601032246
sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,9.07,1740217088,82,2256631315.0,802779507.0,9.92,8.84,-0.252061680233,-2.70531,-66479029.83925223,-3.67959,192789255.8554817,239029691.238318,250000000.0,23.38,-61.15576,2021-03-13T23:44:36.774Z,0.475381,1810.13137,2020-11-04T14:53:53.560Z,,2021-12-30T10:24:12.837Z,0.26640013757776265
frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506,1.01,1740127482,83,1740127482.0,40136755.0,1.01,0.982317,0.00284916,0.28418,-7667237.286029816,-0.43868,1735574681.90788,1735574681.90788,1735574681.90788,1.14,-11.83831,2021-02-07T12:55:35.766Z,0.891635,12.76372,2021-12-04T05:33:57.315Z,,2021-12-30T10:21:10.218Z,0.19351770616470113
celo,celo,Celo,https://assets.coingecko.com/coins/images/11090/large/icon-celo-CELO-color-500.png?1592293590,4.7,1714886425,84,4670112833.0,35053509.0,4.81,4.39,0.096413,2.09283,9163082.0,0.5372,367204495.0,1000000000.0,1000000000.0,9.82,-52.11184,2021-08-30T14:25:09.929Z,0.800156,487.7907,2020-05-22T04:15:27.736Z,,2021-12-30T10:21:12.359Z,-0.7167527924091396
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,4.0,1687628624,85,,8026323.0,4.21,3.81,0.123447,3.18386,43589325.0,2.65136,423415980.3475,694901823.6871,,8.05,-50.28307,2021-06-04T00:04:12.584Z,0.02620268,15168.37166,2018-12-07T00:00:00.000Z,"{'times': 12.335726143478336, 'currency': 'usd', 'percentage': 1233.5726143478337}",2021-12-30T10:22:00.050Z,0.04918873860512245
spell-token,spell,Spell Token,https://assets.coingecko.com/coins/images/15861/large/abracadabra-3.png?1622544862,0.02107994,1669562729,86,4427858362.0,93635755.0,0.02263251,0.02049785,-0.001486173779,-6.58586,-113931503.24863148,-6.38811,79182337011.1439,103214939480.85785,210000000000.0,0.03506357,-39.81702,2021-11-02T08:44:42.429Z,0.00029812,6978.35528,2021-08-05T13:00:27.077Z,,2021-12-30T10:23:46.660Z,-0.6606433799738229
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,84.37,1589864969,87,,1520.87,96.81,84.56,-11.645482460063,-12.1283,-209705538.70332646,-11.65309,18794058.3967894,21000000.0,,378.12,-77.68589,2021-09-04T17:15:31.514Z,9.21,816.12836,2020-11-15T18:28:32.658Z,,2021-12-30T10:04:27.825Z,-0.22605708805901337
kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,20.69,1583639206,88,,15924641.0,21.59,20.21,-0.864702796355,-4.01089,-74122837.31586504,-4.47126,76729977.0,166729977.0,,28.83,-28.02041,2021-12-01T15:09:35.541Z,0.342863,5952.45635,2019-02-07T00:00:00.000Z,,2021-12-30T10:22:20.874Z,0.05082411555487752
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.288137,1533033798,89,2549925601.0,182455034.0,0.303283,0.281959,-0.01493839622,-4.92893,-96265698.16007829,-5.90841,5344064580.0,8888888888.0,8888888888.0,0.878633,-67.19946,2021-03-13T08:04:21.200Z,0.00410887,6913.99963,2019-09-28T00:00:00.000Z,"{'times': 12.097146009564717, 'currency': 'usd', 'percentage': 1209.7146009564717}",2021-12-30T10:23:30.549Z,0.11829172947260241
huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,9.58,1513185303,90,4796950275.0,99923257.0,9.79,9.51,-0.069934658863,-0.7245,-23173759.50315261,-1.50836,157723680.25441208,500000000.0,500000000.0,39.66,-75.76103,2021-05-12T14:42:21.586Z,0.90862,958.01791,2019-01-30T00:00:00.000Z,"{'times': 8.679744559016406, 'currency': 'usd', 'percentage': 867.9744559016406}",2021-12-30T10:22:38.244Z,-0.4555298670423862
osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1632763885,5.77,1497550051,91,5790346329.0,41429646.0,5.8,5.38,0.200223,3.59168,74783965.0,5.25624,258628753.0,325000000.0,1000000000.0,7.61,-24.16319,2021-09-20T00:00:09.729Z,1.24,367.41425,2021-07-20T10:21:24.662Z,,2021-12-30T10:18:13.900Z,0.33982003354157037
ecomi,omi,ECOMI,https://assets.coingecko.com/coins/images/4428/large/ECOMI.png?1557928886,0.00615703,1483122277,92,,5823555.0,0.00649241,0.00609565,-0.000278206488,-4.32317,-68972740.00177026,-4.44385,240092131274.56,750000000000.0,,0.01343572,-53.99829,2021-03-19T17:20:53.999Z,3.37e-06,183250.5632,2019-11-04T10:52:42.729Z,"{'times': 12.10363820794096, 'currency': 'btc', 'percentage': 1210.363820794096}",2021-12-30T10:23:41.313Z,-0.6504741532448826
waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,14.44,1437886362,93,,56597589.0,14.86,14.13,-0.412887279464,-2.78002,-54086105.061378956,-3.62514,100000000.0,100000000.0,,43.01,-66.42687,2021-05-04T06:49:41.528Z,0.130878,10934.00433,2016-08-02T00:00:00.000Z,"{'times': 75.80360405942777, 'currency': 'usd', 'percentage': 7580.360405942776}",2021-12-30T10:22:42.999Z,0.48217099862718077
